針	針 はり needle; pin; hook; stinger; thorn; hand (e.g. clock, etc.); pointer; staple (for a stapler); needlework; sewing; malice; counter for stitches
隠す	隠す かくす to hide; to conceal
鍋	鍋 なべ saucepan; pot; stew; hot pot
原	原 はら field; plain; prairie; tundra; moor; wilderness
要するに	要するに ようするに in a word; after all; the point is ...; in short ...; to put simply; the long and short of it is that ....
学期	学期 がっき school term; semester
我慢	我慢 がまん patience; endurance; perseverance; tolerance; self-control; self-denial
乗せる	乗せる のせる to place on (something); to give (someone) a ride; to give a lift; to pick up; to help on board; to load (luggage); to carry; to take on board; to send out (on the airwaves, etc.); to deceive; to take for a ride; to (sing) along with (musical accompaniment); to let (someone) take part; to excite (someone)
裸	裸 はだか naked; nude; bare
順番	順番 じゅんばん turn (in line); order of things; sequential order
幸運	幸運 こううん good luck; fortune
釣	釣 つり fishing; angling; change (e.g. for a purchase); trolling; writing false posts online
ドレス	ドレス ドレス dress
活気	活気 かっき energy; liveliness
王様	王様 おうさま king
学ぶ	学ぶ まなぶ to study (in depth); to learn; to take lessons in
絶滅	絶滅 ぜつめつ destruction; extinction
居間	居間 いま living room (Western style)
率	率 りつ rate; ratio; proportion; percentage
出来るだけ	出来るだけ できるだけ as much as one can; as much as possible; if at all possible
渋滞	渋滞 じゅうたい congestion (e.g. traffic); delay; stagnation
苦痛	苦痛 くつう pain; agony; bitterness
張る	張る はる to stick; to paste; to affix; to stretch; to spread; to strain; to tighten; to put up (tent); to form (e.g. ice on a pond); to fill; to swell; to stick out; to put; to slap; to be expensive; to keep a watch on; to be on the lookout; to become one tile away from completion; to span; to generate
夜明け	夜明け よあけ dawn; daybreak
双子	双子 ふたご twins; twin
損	損 そん loss; disadvantage
オーバー	オーバー オーバー overcoat; over; exceeding; going beyond; exaggeration; ball hit over the head of an outfielder
偉大	偉大 いだい greatness
歩道	歩道 ほどう footpath; walkway; sidewalk
畑	畑 はたけ field (for fruits, vegetables, etc.); cultivated land; vegetable plot; kitchen garden; plantation; field (of specialization); sphere; area; womb; birth; birthplace
翼	翼 つばさ wing; Chinese "Wings" constellation (one of the 28 mansions); counter for birds or bird wings
話し合う	話し合う はなしあう to discuss; to talk together
綿	綿 わた cotton plant (Gossypium spp.); batting; wadding; padding
克服	克服 こくふく conquest (problem, disease, handicap, etc. e.g. poverty, illness); overcoming; bringing under control; subjugation; victory over
墓	墓 はか gravesite; tomb
食糧	食糧 しょくりょう food (esp. staple food such as rice or wheat); provisions; rations; food supply
収穫	収穫 しゅうかく harvest; crop; ingathering; fruits (of one's labors); results
