行く,Verb,いく,go,https://assets2.iknow.jp/assets/legacy/JLL/audio/JW00393A.mp3
見る,Verb,みる,"see, look at",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW09011A.mp3
多い,Adjective,おおい,"a lot of, many",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW00964A.mp3
家,Noun,うち,"home, household",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW00709A.mp3
これ,Pronoun,これ,"this, this one",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW03226A.mp3
それ,Pronoun,それ,"that, that one",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW05106A.mp3
私,Pronoun,わたし,I (general),https://assets2.iknow.jp/assets/legacy/JLL/audio/JW10045A.mp3
仕事,Verbal Noun,しごと,"work, job",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW03665A.mp3
いつ,Interrogative,いつ,when,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW00501A.mp3
する,Verb,する,"do, make",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW04644A.mp3
出る,Verb,でる,"go out, leave",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW06128A.mp3
使う,Verb,つかう,"use, make use of",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW05824A.mp3
所,Noun,ところ,place,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW06416A.mp3
作る,Verb,つくる,"make, create",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW05866A.mp3
思う,Verb,おもう,think,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW01213A.mp3
持つ,Verb,もつ,"have, possess",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW09291A.mp3
買う,Verb,かう,buy,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW01429A.mp3
時間,Noun,じかん,"time, hour",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW03620A.mp3
知る,Verb,しる,know,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW04340A.mp3
同じ,Adjectival Noun,おなじ,"same, identical",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW01160A.mp3
今,Adverb,いま,now,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW00573A.mp3
新しい,Adjective,あたらしい,new,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW00147A.mp3
なる,Verb,なる,become,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW06750A.mp3
まだ,Adverb,まだ,"(not) yet, still",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW08718A.mp3
あと,Noun,あと,after,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW00187A.mp3
聞く,Verb,きく,"hear, ask, listen",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW02020A.mp3
言う,Verb,いう,"say, tell",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW00352A.mp3
少ない,Adjective,すくない,"few, little",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW04547A.mp3
高い,Adjective,たかい,"high, tall",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW05292A.mp3
子供,Noun,こども,child,https://assets3.iknow.jp/assets/legacy/JLL/audio/JW03174A.mp3
そう,Adverb,そう,"so, that way",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW04953A.mp3
もう,Adverb,もう,"already, yet",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW09232A.mp3
学生,Noun,がくせい,student,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW01515A.mp3
熱い,Adjective,あつい,hot (to touch),https://assets1.iknow.jp/assets/legacy/JLL/audio/JW00157A.mp3
どうぞ,Adverb,どうぞ,please,https://assets3.iknow.jp/assets/legacy/JLL/audio/JW06282A.mp3
午後,Noun,ごご,"afternoon, p.m.",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW03085A.mp3
長い,Adjective,ながい,long,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW06628A.mp3
本,Noun,ほん,book,https://assets3.iknow.jp/assets/legacy/JLL/audio/JW08587A.mp3
今年,Noun,ことし,this year (colloquial),https://assets2.iknow.jp/assets/legacy/JLL/audio/JW03165A.mp3
よく,Adverb,よく,"often, well",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW09642A.mp3
彼女,Pronoun,かのじょ,"she, girlfriend",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW01741A.mp3
どう,Interrogative,どう,"how, what",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW06208A.mp3
言葉,Noun,ことば,"word, language",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW03172A.mp3
顔,Noun,かお,face,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW01443A.mp3
終わる,Verb,おわる,"finish, end",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW01270A.mp3
一つ,Noun,ひとつ,one (thing),https://assets2.iknow.jp/assets/legacy/JLL/audio/JW07770A.mp3
あげる,Verb,あげる,"give, offer (colloquial)",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW00095A.mp3
こう,Adverb,こう,"like this, such",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW02846A.mp3
学校,Noun,がっこう,school,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW01684A.mp3
くれる,Verb,くれる,be given,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW02561A.mp3
始める,Verb,はじめる,start (something),https://assets0.iknow.jp/assets/legacy/JLL/audio/JW07303A.mp3
起きる,Verb,おきる,"get up, get out of bed",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW01028A.mp3
春,Noun,はる,spring,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW07500A.mp3
午前,Noun,ごぜん,"morning, a.m.",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW03125A.mp3
別,Adjectival Noun,べつ,"another, different",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW08319A.mp3
どこ,Interrogative,どこ,where,https://assets3.iknow.jp/assets/legacy/JLL/audio/JW06412A.mp3
部屋,Noun,へや,room,https://assets3.iknow.jp/assets/legacy/JLL/audio/JW08331A.mp3
若い,Adjective,わかい,young,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW10002A.mp3
車,Noun,くるま,"car, automobile",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW02551A.mp3
置く,Verb,おく,"put, place",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW01032A.mp3
住む,Verb,すむ,"live, reside",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW04629A.mp3
働く,Verb,はたらく,work,https://assets2.iknow.jp/assets/legacy/JLL/audio/JW07338A.mp3
難しい,Adjective,むずかしい,difficult,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW09089A.mp3
先生,Noun,せんせい,teacher (colloquial),https://assets1.iknow.jp/assets/legacy/JLL/audio/JW04895A.mp3
立つ,Verb,たつ,"stand, rise",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW05374A.mp3
呼ぶ,Verb,よぶ,"call, name",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW09717A.mp3
大学,Noun,だいがく,"university, college",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW05163A.mp3
安い,Adjective,やすい,"cheap, inexpensive",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW09409A.mp3
もっと,Adverb,もっと,more,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW09298A.mp3
帰る,Verb,かえる,go back home,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW01439A.mp3
分かる,Verb,わかる,understand,https://assets3.iknow.jp/assets/legacy/JLL/audio/JW10011A.mp3
広い,Adjective,ひろい,"wide, big",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW07904A.mp3
数,Noun,かず,number,https://assets2.iknow.jp/assets/legacy/JLL/audio/JW01604A.mp3
近い,Adjective,ちかい,"near, close",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW05562A.mp3
そこ,Pronoun,そこ,there,https://assets3.iknow.jp/assets/legacy/JLL/audio/JW05045A.mp3
走る,Verb,はしる,run,https://assets2.iknow.jp/assets/legacy/JLL/audio/JW07309A.mp3
入れる,Verb,いれる,put in,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW00613A.mp3
教える,Verb,おしえる,"teach, tell",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW01077A.mp3
歩く,Verb,あるく,"walk, go on foot",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW00291A.mp3
会う,Verb,あう,meet,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW00027A.mp3
書く,Verb,かく,write,https://assets2.iknow.jp/assets/legacy/JLL/audio/JW01487A.mp3
頭,Noun,あたま,head,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW00146A.mp3
売る,Verb,うる,sell,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW00795A.mp3
大好き,Adjectival Noun,だいすき,like (something) a lot,https://assets2.iknow.jp/assets/legacy/JLL/audio/JW05207A.mp3
体,Noun,からだ,"body, physique, physical condition",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW01813A.mp3
直ぐ,Adverb,すぐ,"at once, soon",https://assets0.iknow.jp/assets/users/Smart.fm/6l6f811fh7dk0.mp3
飛ぶ,Verb,とぶ,fly,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW06495A.mp3
とても,Adverb,とても,very (colloquial),https://assets3.iknow.jp/assets/legacy/JLL/audio/JW06468A.mp3
誰,Interrogative,だれ,who,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW05485A.mp3
好き,Adjectival Noun,すき,"favorite, liked",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW04528A.mp3
読む,Verb,よむ,read,https://assets2.iknow.jp/assets/legacy/JLL/audio/JW09728A.mp3
次,Noun,つぎ,next,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW05835A.mp3
あなた,Pronoun,あなた,you,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW00197A.mp3
飲む,Verb,のむ,drink,https://assets0.iknow.jp/assets/legacy/JLL/audio/JW07115A.mp3
古い,Adjective,ふるい,old,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW08200A.mp3
質問,Verbal Noun,しつもん,question,https://assets1.iknow.jp/assets/legacy/JLL/audio/JW03783A.mp3
今日,Noun,きょう,today (colloquial),https://assets3.iknow.jp/assets/legacy/JLL/audio/JW02231A.mp3
友達,Noun,ともだち,"friend, companion (colloquial)",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW06516A.mp3
早い,Adjective,はやい,early,https://assets2.iknow.jp/assets/legacy/JLL/audio/JW07465A.mp3
どれ,Interrogative,どれ,"what, which",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW06572A.mp3
何か,Pronoun,なにか,"something, some",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW06706A.mp3
向こう,Noun,むこう,"over there, on the other side",https://assets2.iknow.jp/assets/legacy/JLL/audio/JW09062A.mp3
真ん中,Noun,まんなか,"center, middle (casual)",https://assets3.iknow.jp/assets/legacy/JLL/audio/JW08832A.mp3
遠く,Noun,とおく,"far away, distance",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW06343A.mp3
横,Noun,よこ,"side, width across",https://assets0.iknow.jp/assets/legacy/JLL/audio/JW09664A.mp3
つまらない,Adjective,つまらない,"boring, dull",https://assets1.iknow.jp/assets/legacy/JLL/audio/JW05930A.mp3
